cluster,keyword,intent,volume,kd,cpc_usd,recommended_action,page_target,serp_features,updated
A. Hire a small-business accountant,what is the best bank for small business,Commercial,260,25,12.44,use in meta + write pillar post,/services + new post,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",1 month
A. Hire a small-business accountant,do i need an accountant for my small business,"Informational, Commercial",110,14,21.86,use in meta + write pillar post,/services + new post,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",1 month
A. Hire a small-business accountant,do i need an llc for a small business,"Informational, Commercial",110,23,5.31,use in meta + write pillar post,/services + new post,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches",1 month
A. Hire a small-business accountant,does my small business need an llc,"Informational, Commercial",110,25,0.0,use in meta + write pillar post,/services + new post,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches",1 month
B. Bookkeeper vs Accountant (service education),when is the best time to reconcile your bank account,"Informational, Commercial",260,22,0.0,use in /services copy + write comparison post,/services + new post,"Sitelinks, AI Overview, Video, People also ask, Related searches",1 month
B. Bookkeeper vs Accountant (service education),what's the difference between accounts payable and accounts receivable,"Informational, Commercial",170,28,0.54,use in /services copy + write comparison post,/services + new post,"Sitelinks, AI Overview, Video, People also ask, Related searches",1 month
B. Bookkeeper vs Accountant (service education),what is job order costing in accounting,"Informational, Commercial",170,26,0.0,use in /services copy + write comparison post,/services + new post,"Sitelinks, AI Overview, Video, People also ask, Related searches",1 month
B. Bookkeeper vs Accountant (service education),what is private accounting,"Informational, Commercial",170,20,0.0,use in /services copy + write comparison post,/services + new post,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches",1 month
B. Bookkeeper vs Accountant (service education),what is job cost accounting,"Informational, Commercial",140,14,5.66,use in /services copy + write comparison post,/services + new post,"Sitelinks, AI Overview, Video, People also ask, Related searches",1 month
B. Bookkeeper vs Accountant (service education),what is job costing in cost accounting,"Informational, Commercial",140,18,4.32,use in /services copy + write comparison post,/services + new post,"Sitelinks, AI Overview, Video, People also ask, Related searches",1 month
B. Bookkeeper vs Accountant (service education),what is the difference between a bookkeeper and an accountant,"Informational, Commercial",140,29,1.2,use in /services copy + write comparison post,/services + new post,"AI Overview, Image pack, Video, Short videos, People also ask, Discussions and forums, Related searches",1 month
B. Bookkeeper vs Accountant (service education),what is job costing in accounting,"Informational, Commercial",110,12,5.02,use in /services copy + write comparison post,/services + new post,"Sitelinks, AI Overview, Video, People also ask, Related searches",1 month
B. Bookkeeper vs Accountant (service education),what is accounts payable job,"Informational, Commercial",110,23,0.29,use in /services copy + write comparison post,/services + new post,"AI Overview, Video, Video carousel, People also ask, Related searches",1 month
B. Bookkeeper vs Accountant (service education),what is expensing in accounting,"Informational, Commercial",110,3,0.0,use in /services copy + write comparison post,/services + new post,"Sitelinks, AI Overview, Video, Short videos, People also ask, Related searches",1 month
C. Shopify / Etsy / e-commerce sales tax (high-intent ICP),does shopify collect sales tax,Transactional,480,27,5.46,write cornerstone post (feeds pricing/tax planning CTAs),new post: /blog/shopify-sales-tax,"Sitelinks, AI Overview, Video, People also ask, Related searches",1 month
C. Shopify / Etsy / e-commerce sales tax (high-intent ICP),does etsy collect sales tax,"Informational, Transactional",210,26,0.0,write cornerstone post (feeds pricing/tax planning CTAs),new post: /blog/shopify-sales-tax,"Sitelinks, AI Overview, Video, People also ask, Related searches",1 month
C. Shopify / Etsy / e-commerce sales tax (high-intent ICP),does shopify remit sales tax,Transactional,170,17,12.69,write cornerstone post (feeds pricing/tax planning CTAs),new post: /blog/shopify-sales-tax,"Sitelinks, AI Overview, Video, People also ask, Related searches",1 month
D. Tax + accountant pricing anxiety (transparency angle),how much does a tax attorney cost,"Informational, Commercial",480,2,6.85,write post — reinforces /pricing transparency positioning,new post: /blog/what-does-tax-prep-actually-cost,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",1 month
D. Tax + accountant pricing anxiety (transparency angle),when to hire a tax attorney,"Informational, Commercial",320,16,5.9,write post — reinforces /pricing transparency positioning,new post: /blog/what-does-tax-prep-actually-cost,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches",1 month
D. Tax + accountant pricing anxiety (transparency angle),how much does it cost to do your taxes,"Informational, Commercial",210,20,2.3,write post — reinforces /pricing transparency positioning,new post: /blog/what-does-tax-prep-actually-cost,"Sitelinks, Video, People also ask, Discussions and forums, Related searches",1 month
E. Behind on taxes / haven't filed (audit-support intent),can you do taxes without w2,"Informational, Commercial",720,23,3.49,write empathy post — funnels to /services (audit support),new post: /blog/behind-on-taxes,"Sitelinks, AI Overview, Video, Short videos, People also ask, Discussions and forums, Related searches",1 month
E. Behind on taxes / haven't filed (audit-support intent),can i file my taxes without my w2,"Informational, Commercial",480,28,2.49,write empathy post — funnels to /services (audit support),new post: /blog/behind-on-taxes,"Sitelinks, AI Overview, Video, Short videos, People also ask, Discussions and forums, Related searches",1 month
E. Behind on taxes / haven't filed (audit-support intent),can i file my taxes without a w2,"Informational, Commercial",390,24,2.49,write empathy post — funnels to /services (audit support),new post: /blog/behind-on-taxes,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches",1 month
E. Behind on taxes / haven't filed (audit-support intent),is fresh start tax relief legit,"Informational, Commercial",320,29,12.07,write empathy post — funnels to /services (audit support),new post: /blog/behind-on-taxes,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches, Ads bottom",1 month
E. Behind on taxes / haven't filed (audit-support intent),can you file taxes without a job,Commercial,210,19,8.23,write empathy post — funnels to /services (audit support),new post: /blog/behind-on-taxes,"Sitelinks, AI Overview, Reviews, Video, Short videos, People also ask, Discussions and forums, Related searches",4 weeks
E. Behind on taxes / haven't filed (audit-support intent),what happens if i didn't file last year's taxes,"Informational, Commercial",210,18,5.13,write empathy post — funnels to /services (audit support),new post: /blog/behind-on-taxes,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",1 month
E. Behind on taxes / haven't filed (audit-support intent),can you do your taxes without a w2,"Informational, Commercial",210,19,3.52,write empathy post — funnels to /services (audit support),new post: /blog/behind-on-taxes,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches",1 month
E. Behind on taxes / haven't filed (audit-support intent),is tax relief advocates legit,"Informational, Commercial",170,15,9.19,write empathy post — funnels to /services (audit support),new post: /blog/behind-on-taxes,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches",1 month
E. Behind on taxes / haven't filed (audit-support intent),is tax forgiveness real,"Informational, Commercial",170,17,6.15,write empathy post — funnels to /services (audit support),new post: /blog/behind-on-taxes,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches",1 month
E. Behind on taxes / haven't filed (audit-support intent),what happens if you don't file taxes for 3 years,"Informational, Commercial",170,20,2.43,write empathy post — funnels to /services (audit support),new post: /blog/behind-on-taxes,"Sitelinks, AI Overview, Video, Short videos, People also ask, Discussions and forums, Related searches",1 month
E. Behind on taxes / haven't filed (audit-support intent),is alleviate tax legit,"Informational, Commercial",110,22,10.28,write empathy post — funnels to /services (audit support),new post: /blog/behind-on-taxes,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",1 month
E. Behind on taxes / haven't filed (audit-support intent),can i file 2025 taxes without filing 2024,"Informational, Commercial",110,21,7.42,write empathy post — funnels to /services (audit support),new post: /blog/behind-on-taxes,"Sitelinks, AI Overview, Reviews, Video, Discussions and forums, Related searches",4 weeks
E. Behind on taxes / haven't filed (audit-support intent),can you file for taxes without a job,"Informational, Commercial",110,61,1.98,write empathy post — funnels to /services (audit support),new post: /blog/behind-on-taxes,"Sitelinks, AI Overview, Video, Short videos, People also ask, Discussions and forums, Related searches, Ads bottom",1 month
F. Solopreneur / gig / 1099 tax questions,do seniors have to file taxes,"Informational, Commercial",590,29,1.01,write post — captures side-hustle segment (Essential plan target),new post: /blog/side-hustle-tax-basics,"Featured snippet, Video, Short videos, People also ask, Discussions and forums, Related searches",1 month
F. Solopreneur / gig / 1099 tax questions,when should i start my taxes,"Informational, Commercial",210,29,5.61,write post — captures side-hustle segment (Essential plan target),new post: /blog/side-hustle-tax-basics,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",1 month
F. Solopreneur / gig / 1099 tax questions,do babysitters have to pay taxes,"Informational, Commercial",140,12,7.73,write post — captures side-hustle segment (Essential plan target),new post: /blog/side-hustle-tax-basics,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",1 month
F. Solopreneur / gig / 1099 tax questions,do you have to claim venmo on taxes,"Informational, Commercial",140,23,0.0,write post — captures side-hustle segment (Essential plan target),new post: /blog/side-hustle-tax-basics,"Sitelinks, AI Overview, Video, Short videos, People also ask, Discussions and forums, Related searches",1 month
F. Solopreneur / gig / 1099 tax questions,does a retired person have to file taxes,"Informational, Commercial",110,22,1.06,write post — captures side-hustle segment (Essential plan target),new post: /blog/side-hustle-tax-basics,"AI Overview, Video, Short videos, People also ask, Discussions and forums, Related searches",1 month
