cluster,keyword,intent,volume,kd,cpc_usd,recommended_action,page_target,serp_features,updated,dfs_volume,dfs_kd,dfs_cpc,dfs_updated
N. Accounting methods — cash vs accrual,what is the difference between cash accounting and accrual accounting,Informational,260,39,0.0,write post,new post,,2026-07-22,,,,
N. Accounting methods — cash vs accrual,benefits of accrual accounting,Informational,210,29,0.0,write post,new post,,2026-07-22,70,8,0.41,2026-07-24
N. Accounting methods — cash vs accrual,types of financial accounting,Informational,110,26,0.0,write post,new post,,2026-07-22,140,7,,2026-07-24
O. Nonprofit & fund accounting,fund accounting basics,Informational,390,22,0.0,write post,new post,,2026-07-22,170,0,4.24,2026-07-24
O. Nonprofit & fund accounting,accounting for donations to nonprofit organizations,Informational,210,20,0.0,write post,new post,,2026-07-22,50,0,12.31,2026-07-24
O. Nonprofit & fund accounting,accounting fund,Informational,260,27,0.0,write post,new post,,2026-07-22,480,19,15.49,2026-07-24
B. Bookkeeper vs Accountant (service education),how to learn bookkeeping,Informational,260,37,0.0,write post,new post,,2026-07-22,390,11,8.79,2026-07-24
B. Bookkeeper vs Accountant (service education),bookkeeping terms,Informational,170,12,0.0,write post,new post,,2026-07-22,170,0,8.39,2026-07-24
B. Bookkeeper vs Accountant (service education),list of accounts used by a business,Informational,170,32,0.0,write post,new post,,2026-07-22,720,3,,2026-07-24
B. Bookkeeper vs Accountant (service education),why is accounting important in business,Informational,170,13,0.0,write post,new post,,2026-07-22,260,6,,2026-07-24
B. Bookkeeper vs Accountant (service education),outsourced finance services,Commercial,110,19,0.0,write post,new post,,2026-07-22,90,7,,2026-07-24
B. Bookkeeper vs Accountant (service education),what is accounting services,Informational,70,13,0.0,write post,new post,,2026-07-22,70,0,,2026-07-24
