cluster,keyword,intent,volume,kd,cpc_usd,recommended_action,page_target,serp_features,updated,dfs_volume,dfs_kd,dfs_cpc,dfs_updated
O. Nonprofit & fund accounting,church accounting services,Informational,390,8,0.0,service page,service/niche page,,2026-07-22,140,0,40.69,2026-07-24
O. Nonprofit & fund accounting,nonprofit accounting services,Informational,1000,29,0.0,service page,service/niche page,,2026-07-22,720,5,51.2,2026-07-24
O. Nonprofit & fund accounting,accounting services for nonprofits,Informational,480,20,0.0,service page,service/niche page,,2026-07-22,720,2,51.2,2026-07-24
O. Nonprofit & fund accounting,fund accounting,Informational,2400,20,0.0,write post,new post,,2026-07-22,2400,4,22.36,2026-07-24
X. Construction & contractors,construction accounting services,Informational,1000,16,0.0,service page,service/niche page,,2026-07-22,260,0,54.19,2026-07-24
Y. Restaurants & hospitality,restaurant accounting services,Informational,880,15,0.0,service page,service/niche page,,2026-07-22,210,0,53.81,2026-07-24
W. Real estate & rental property,real estate accounting services,Informational,720,18,0.0,service page,service/niche page,,2026-07-22,260,0,24.19,2026-07-24
AB. Other verticals,healthcare accounting services,Informational,880,5,0.0,service page,service/niche page,,2026-07-22,140,0,36.26,2026-07-24
AB. Other verticals,manufacturing accounting services,Informational,590,8,0.0,service page,service/niche page,,2026-07-22,50,0,,2026-07-24
AB. Other verticals,dental accounting services,Informational,480,13,0.0,service page,service/niche page,,2026-07-22,90,13,,2026-07-24
AB. Other verticals,hoa accounting services,Navigational,480,17,0.0,service page,service/niche page,,2026-07-22,320,0,16.94,2026-07-24
C. Shopify / Etsy / e-commerce sales tax (high-intent ICP),ecommerce accounting services,Informational,480,19,0.0,service page,service/niche page,,2026-07-22,90,0,50.93,2026-07-24
AC. Core service terms,small business accounting services,Commercial,2400,13,0.0,service page,service/niche page,,2026-07-22,2400,0,73.36,2026-07-24
AC. Core service terms,accounting and bookkeeping services,Commercial,2400,44,0.0,service page,service/niche page,,2026-07-22,1000,21,42.91,2026-07-24
AC. Core service terms,outsourced accounting services,Informational,4400,31,0.0,service page,service/niche page,,2026-07-22,2900,11,73.97,2026-07-24
AC. Core service terms,accounting services for small businesses,Commercial,720,43,0.0,service page,service/niche page,,2026-07-22,2400,15,73.36,2026-07-24
AC. Core service terms,accountant services for small business,Commercial,320,21,0.0,service page,service/niche page,,2026-07-22,2400,40,73.36,2026-07-24
AC. Core service terms,virtual accounting services,Commercial,720,22,0.0,service page,service/niche page,,2026-07-22,390,12,66.07,2026-07-24
AC. Core service terms,fractional accounting services,Informational,880,11,0.0,service page,service/niche page,,2026-07-22,140,0,105.79,2026-07-24
AC. Core service terms,accounting services for startups,Commercial,590,14,0.0,service page,service/niche page,,2026-07-22,260,0,161.9,2026-07-24
AC. Core service terms,startup accounting services,Informational,590,22,0.0,service page,service/niche page,,2026-07-22,260,9,161.9,2026-07-24
AC. Core service terms,bookkeeping and tax services,Commercial,590,38,0.0,service page,service/niche page,,2026-07-22,320,2,50.96,2026-07-24
AC. Core service terms,small business tax services,Informational,1300,38,0.0,service page,service/niche page,,2026-07-22,720,7,77.73,2026-07-24
AC. Core service terms,accounting payroll services,Commercial,320,38,0.0,service page,service/niche page,,2026-07-22,110,19,118.24,2026-07-24
D. Tax + accountant pricing anxiety (transparency angle),tax planning services,Commercial,4400,35,0.0,service page,service/niche page,,2026-07-22,1900,10,43.06,2026-07-24
D. Tax + accountant pricing anxiety (transparency angle),tax advisory services,Commercial,1300,39,0.0,service page,service/niche page,,2026-07-22,720,17,35.63,2026-07-24
D. Tax + accountant pricing anxiety (transparency angle),tax compliance services,Informational,720,30,0.0,service page,service/niche page,,2026-07-22,390,2,44.91,2026-07-24
N. Accounting methods — cash vs accrual,cash basis accounting,Informational,2900,42,0.0,write post,new post,,2026-07-22,2900,4,5.79,2026-07-24
N. Accounting methods — cash vs accrual,accrual basis accounting,Informational,2400,43,0.0,write post,new post,,2026-07-22,3600,21,5.31,2026-07-24
B. Bookkeeper vs Accountant (service education),bookkeeping vs accounting,Commercial,1900,34,0.0,write post,new post,,2026-07-22,2900,14,13.74,2026-07-24
E. Behind on taxes / haven't filed (audit-support intent),tax resolution services,Commercial,2400,33,0.0,write post,new post,,2026-07-22,2400,55,51.83,2026-07-24
E. Behind on taxes / haven't filed (audit-support intent),why is tax relief services calling me,Informational,390,34,0.0,write post,new post,,2026-07-22,390,19,38.17,2026-07-24
H. Sales tax — general small business (light coverage),sales tax compliance services,Informational,480,20,0.0,write post,new post,,2026-07-22,110,10,418.37,2026-07-24
